LdrawId,LDrawColorId,Qty
11253,15,3
15208,19,2
15571,484,1
15573,19,2
15573,84,8
15573,43,1
15573,70,2
15573,71,5
18674,71,1
19119,70,8
19119,2,8
20482,71,1
20482,15,3
2431,70,4
2445,0,1
24866,320,26
24866,2,62
24866,191,18
24866,226,18
25269,84,8
26603,70,1
27925,71,2
27925,15,2
2921,84,8
3003,71,1
3004,0,12
3004,70,8
3004,84,1
3005,84,8
3005,70,6
3010,84,2
3020,15,1
3021,70,2
3022,70,2
3023,84,19
3023,70,6
3023,2,3
3024,40,4
3024,71,4
3024,70,32
3024,15,26
3024,19,1
3024,84,7
3028,0,6
3031,71,1
3032,2,3
3040,15,2
3044c,15,1
3044c,72,6
3045,484,2
3062,70,8
3069,72,1
3069,15,1
3069,84,20
3069,2,7
3069,71,5
3069,70,15
3070,72,2
3070,71,3
3070,43,2
3070,84,14
32607,330,6
34103,15,1
3622,84,6
3623,71,2
3623,2,4
3623,84,14
3659,84,2
36841,19,4
3710,84,2
3710,70,12
3710,72,4
3710,43,1
37762,15,3
3794b,71,1
38583,84,4
38583,19,1
38585,19,2
43898,2,1
4733,70,2
4733,2,2
4740,71,1
4865,84,2
54200,72,8
6126b,43,1
63864,19,1
63864,212,2
63864,71,10
64644,71,4
69729,320,1
85861,71,15
85861,15,6
87079,212,2
87087,70,6
87580,71,3
87580,70,2
90398,19,2
91884,308,1
95673,80,1
99207,72,3
